Name	Position	Preferred foot	Nation	League	Team	Gender
Kylian Mbappé	ST	Right	France	LALIGA EA SPORTS	Real Madrid	Male
Rodri	CDM	Right	Spain	Premier League	Manchester City	Male
Erling Haaland	ST	Left	Norway	Premier League	Manchester City	Male
Jude Bellingham	CAM	Right	England	LALIGA EA SPORTS	Real Madrid	Male
Vini Jr.	LW	Right	Brazil	LALIGA EA SPORTS	Real Madrid	Male
Kevin De Bruyne	CM	Right	Belgium	Premier League	Manchester City	Male
Harry Kane	ST	Right	England	Bundesliga	FC Bayern München	Male
Martin Ødegaard	CM	Left	Norway	Premier League	Arsenal	Male
Gianluigi Donnarumma	GK	Right	Italy	Ligue 1 McDonald's	Paris SG	Male
Alisson	GK	Right	Brazil	Premier League	Liverpool	Male
Thibaut Courtois	GK	Left	Belgium	LALIGA EA SPORTS	Real Madrid	Male
Lautaro Martínez	ST	Right	Argentina	Serie A Enilive	Lombardia FC	Male
Virgil van Dijk	CB	Right	Holland	Premier League	Liverpool	Male
Marc-André ter Stegen	GK	Right	Germany	LALIGA EA SPORTS	FC Barcelona	Male
Mohamed Salah	RW	Left	Egypt	Premier League	Liverpool	Male
Phil Foden	RW	Left	England	Premier League	Manchester City	Male
Lionel Messi	RW	Left	Argentina	MLS	Inter Miami CF	Male
Antoine Griezmann	ST	Left	France	LALIGA EA SPORTS	Atlético de Madrid	Male
Rúben Dias	CB	Right	Portugal	Premier League	Manchester City	Male
Robert Lewandowski	ST	Right	Poland	LALIGA EA SPORTS	FC Barcelona	Male
Federico Valverde	CM	Right	Uruguay	LALIGA EA SPORTS	Real Madrid	Male
Ederson	GK	Left	Brazil	Premier League	Manchester City	Male
Bernardo Silva	CM	Left	Portugal	Premier League	Manchester City	Male
Jan Oblak	GK	Right	Slovenia	LALIGA EA SPORTS	Atlético de Madrid	Male
Antonio Rüdiger	CB	Right	Germany	LALIGA EA SPORTS	Real Madrid	Male
Florian Wirtz	CAM	Right	Germany	Bundesliga	Leverkusen	Male
Gregor Kobel	GK	Right	Switzerland	Bundesliga	Borussia Dortmund	Male
William Saliba	CB	Right	France	Premier League	Arsenal	Male
Victor Osimhen	ST	Right	Nigeria	Serie A Enilive	SSC Napoli	Male
Jamal Musiala	CAM	Right	Germany	Bundesliga	FC Bayern München	Male
Bukayo Saka	RW	Left	England	Premier League	Arsenal	Male
Paulo Dybala	CAM	Left	Argentina	Serie A Enilive	AS Roma	Male
Theo Hernández	LB	Left	France	Serie A Enilive	Milano FC	Male
Neymar Jr	LW	Right	Brazil	ROSHN Saudi League	Al Hilal	Male
Declan Rice	CDM	Right	England	Premier League	Arsenal	Male
Frenkie de Jong	CM	Right	Holland	LALIGA EA SPORTS	FC Barcelona	Male
Mike Maignan	GK	Right	France	Serie A Enilive	Milano FC	Male
Bruno Fernandes	CAM	Right	Portugal	Premier League	Man Utd	Male
Heung Min Son	ST	Right	Korea Republic	Premier League	Spurs	Male
Marquinhos	CB	Right	Brazil	Ligue 1 McDonald's	Paris SG	Male
Alessandro Bastoni	CB	Left	Italy	Serie A Enilive	Lombardia FC	Male
İlkay Gündoğan	CM	Right	Germany	Premier League	Manchester City	Male
Emiliano Martínez	GK	Right	Argentina	Premier League	Aston Villa	Male
Nicolò Barella	CM	Right	Italy	Serie A Enilive	Lombardia FC	Male
Yann Sommer	GK	Right	Switzerland	Serie A Enilive	Lombardia FC	Male
Cristiano Ronaldo	ST	Right	Portugal	ROSHN Saudi League	Al Nassr	Male
Gabriel	CB	Left	Brazil	Premier League	Arsenal	Male
Granit Xhaka	CDM	Left	Switzerland	Bundesliga	Leverkusen	Male
Rodrygo	RW	Right	Brazil	LALIGA EA SPORTS	Real Madrid	Male
João Cancelo	LB	Right	Portugal	ROSHN Saudi League	Al Hilal	Male
Rafael Leão	LW	Right	Portugal	Serie A Enilive	Milano FC	Male
Grimaldo	LM	Left	Spain	Bundesliga	Leverkusen	Male
Luka Modrić	CM	Right	Croatia	LALIGA EA SPORTS	Real Madrid	Male
Alexis Mac Allister	CM	Right	Argentina	Premier League	Liverpool	Male
Carvajal	RB	Right	Spain	LALIGA EA SPORTS	Real Madrid	Male
Ousmane Dembélé	RW	Left	France	Ligue 1 McDonald's	Paris SG	Male
Trent Alexander-Arnold	RB	Right	England	Premier League	Liverpool	Male
Pedri	CM	Right	Spain	LALIGA EA SPORTS	FC Barcelona	Male
Jonathan Tah	CB	Right	Germany	Bundesliga	Leverkusen	Male
Karim Benzema	ST	Right	France	ROSHN Saudi League	Al Ittihad	Male
Bremer	CB	Right	Brazil	Serie A Enilive	Juventus	Male
Joshua Kimmich	RB	Right	Germany	Bundesliga	FC Bayern München	Male
Unai Simón	GK	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Manuel Neuer	GK	Right	Germany	Bundesliga	FC Bayern München	Male
Hakan Çalhanoğlu	CDM	Right	Turkey	Serie A Enilive	Lombardia FC	Male
David Alaba	CB	Left	Austria	LALIGA EA SPORTS	Real Madrid	Male
Ronald Araujo	CB	Right	Uruguay	LALIGA EA SPORTS	FC Barcelona	Male
Julian Brandt	CAM	Right	Germany	Bundesliga	Borussia Dortmund	Male
Éder Militão	CB	Right	Brazil	LALIGA EA SPORTS	Real Madrid	Male
Bruno Guimarães	CDM	Right	Brazil	Premier League	Newcastle Utd	Male
Alexander Isak	ST	Right	Sweden	Premier League	Newcastle Utd	Male
N'Golo Kanté	CDM	Right	France	ROSHN Saudi League	Al Ittihad	Male
Jules Koundé	RB	Right	France	LALIGA EA SPORTS	FC Barcelona	Male
Khvicha Kvaratskhelia	LW	Right	Georgia	Serie A Enilive	SSC Napoli	Male
Vitinha	CM	Right	Portugal	Ligue 1 McDonald's	Paris SG	Male
James Maddison	CAM	Right	England	Premier League	Spurs	Male
Riyad Mahrez	RM	Left	Algeria	ROSHN Saudi League	Al Ahli	Male
Giorgi Mamardashvili	GK	Left	Georgia	LALIGA EA SPORTS	Valencia CF	Male
Mikel Merino	CM	Left	Spain	Premier League	Arsenal	Male
Sergej Milinković-Savić	CM	Right	Serbia	ROSHN Saudi League	Al Hilal	Male
Loïs Openda	ST	Right	Belgium	Bundesliga	RB Leipzig	Male
Palhinha	CDM	Right	Portugal	Bundesliga	FC Bayern München	Male
Cole Palmer	RM	Left	England	Premier League	Chelsea	Male
Andrew Robertson	LB	Left	Scotland	Premier League	Liverpool	Male
Leroy Sané	RM	Left	Germany	Bundesliga	FC Bayern München	Male
Nico Schlotterbeck	CB	Left	Germany	Bundesliga	Borussia Dortmund	Male
John Stones	CB	Right	England	Premier League	Manchester City	Male
Aurélien Tchouaméni	CDM	Right	France	LALIGA EA SPORTS	Real Madrid	Male
Diogo Jota	ST	Right	Portugal	Premier League	Liverpool	Male
Sandro Tonali	CDM	Right	Italy	Premier League	Newcastle Utd	Male
Ollie Watkins	ST	Right	England	Premier League	Aston Villa	Male
Nico Williams	LM	Right	Spain	LALIGA EA SPORTS	Athletic Club	Male
Francesco Acerbi	CB	Left	Italy	Serie A Enilive	Lombardia FC	Male
Manuel Akanji	CB	Right	Switzerland	Premier League	Manchester City	Male
Nathan Aké	CB	Left	Holland	Premier League	Manchester City	Male
Julián Álvarez	ST	Right	Argentina	LALIGA EA SPORTS	Atlético de Madrid	Male
Iago Aspas	ST	Left	Spain	LALIGA EA SPORTS	RC Celta	Male
Yassine Bounou	GK	Left	Morocco	ROSHN Saudi League	Al Hilal	Male
Federico Chiesa	RW	Right	Italy	Premier League	Liverpool	Male
Kingsley Coman	LM	Right	France	Bundesliga	FC Bayern München	Male
Rúben Neves	CDM	Right	Portugal	ROSHN Saudi League	Al Hilal	Male
Matthijs de Ligt	CB	Right	Holland	Premier League	Man Utd	Male
Rodrigo De Paul	CM	Right	Argentina	LALIGA EA SPORTS	Atlético de Madrid	Male
Raphinha	RW	Left	Brazil	LALIGA EA SPORTS	FC Barcelona	Male
Luis Díaz	LW	Right	Colombia	Premier League	Liverpool	Male
Federico Dimarco	LB	Left	Italy	Serie A Enilive	Lombardia FC	Male
Artem Dovbyk	ST	Left	Ukraine	Serie A Enilive	AS Roma	Male
Jeremie Frimpong	RM	Right	Holland	Bundesliga	Leverkusen	Male
Aleix García	CM	Right	Spain	Bundesliga	Leverkusen	Male
Jack Grealish	LW	Right	England	Premier League	Manchester City	Male
Serhou Guirassy	ST	Right	Guinea	Bundesliga	Borussia Dortmund	Male
Viktor Gyökeres	ST	Right	Sweden	Liga Portugal	Sporting CP	Male
Achraf Hakimi	RB	Right	Morocco	Ligue 1 McDonald's	Paris SG	Male
Lukáš Hrádecký	GK	Right	Finland	Bundesliga	Leverkusen	Male
Kalidou Koulibaly	CB	Right	Senegal	ROSHN Saudi League	Al Hilal	Male
Sadio Mané	LM	Right	Senegal	ROSHN Saudi League	Al Nassr	Male
Lisandro Martínez	CB	Left	Argentina	Premier League	Man Utd	Male
Diogo Costa	GK	Right	Portugal	Liga Portugal	FC Porto	Male
Ferland Mendy	LB	Left	France	LALIGA EA SPORTS	Real Madrid	Male
Christopher Nkunku	CAM	Right	France	Premier League	Chelsea	Male
Dani Olmo	CAM	Right	Spain	LALIGA EA SPORTS	FC Barcelona	Male
Exequiel Palacios	CM	Right	Argentina	Bundesliga	Leverkusen	Male
Benjamin Pavard	CB	Right	France	Serie A Enilive	Lombardia FC	Male
Álex Remiro	GK	Right	Spain	LALIGA EA SPORTS	Real Sociedad	Male
Cristian Romero	CB	Right	Argentina	Premier League	Spurs	Male
Marcel Sabitzer	CM	Right	Austria	Bundesliga	Borussia Dortmund	Male
Casemiro	CDM	Right	Brazil	Premier League	Man Utd	Male
